,terms
0,ab
1,ab initio
2,ab initio privat
3,abandon
4,abandon custom
5,abandon custom failur
6,abandon suharto
7,abandon suharto longstand
8,abat
9,abat busi
10,abat busi confid
11,abat futur
12,abat futur behaviour
13,abat rose
14,abat rose doubledigit
15,abhiyan
16,abhiyan educ
17,abhiyan educ programm
18,abid
19,abid problem
20,abid problem crosscountri
21,abil
22,abil anticip
23,abil anticip risk
24,abil bank
25,abil bank deliv
26,abil bank industri
27,abil bank meet
28,abil busi
29,abil busi boost
30,abil compet
31,abil compet report
32,abil deal
33,abil deal output
34,abil deliv
35,abil deliv low
36,abil face
37,abil face competit
38,abil financi
39,abil financi institut
40,abil handl
41,abil handl new
42,abil implement
43,abil implement modern
44,abil policymak
45,abil policymak stabilis
46,abil second
47,abil second generat
48,abil strive
49,abil strive situat
50,abl
51,abl achiev
52,abl achiev primari
53,abl adjust
54,abl adjust quick
55,abl afford
56,abl afford pension
57,abl ascertain
58,abl ascertain much
59,abl avail
60,abl avail opportun
61,abl continu
62,abl continu drive
63,abl deal
64,abl deal problem
65,abl distinguish
66,abl distinguish event
67,abl draw
68,abl draw centuri
69,abl exceed
70,abl exceed peak
71,abl exercis
72,abl exercis alloc
73,abl exploit
74,abl exploit new
75,abl financ
76,abl financ increas
77,abl financ unwant
78,abl fulfil
79,abl fulfil domest
80,abl gather
81,abl gather even
82,abl govern
83,abl govern prudenc
84,abl identifi
85,abl identifi clear
86,abl implement
87,abl implement strong
88,abl increas
89,abl increas market
90,abl keep
91,abl keep pace
92,abl look
93,abl look aspect
94,abl meet
95,abl meet demand
96,abl meet emerg
97,abl minimis
98,abl minimis downsid
99,abl mop
100,abl mop crash
101,abl neat
102,abl neat summaris
103,abl plan
104,abl plan provid
105,abl provid
106,abl provid wide
107,abl rais
108,abl rais fund
109,abl right
110,abl right confid
111,abl show
112,abl show abil
113,abl stick
114,abl stick declar
115,abl support
116,abl support sustain
117,abl understand
118,abl understand wide
119,abl work
120,abl work togeth
121,abnorm
122,abnorm movement
123,abnorm movement market
124,abnorm realli
125,abnorm realli updat
126,abolit
127,abolit control
128,abolit control capit
129,abolit quota
130,abolit quota china
131,abovetrend
132,abovetrend growth
133,abovetrend growth imf
134,abridg
135,abridg result
136,abridg result nonfinanci
